time	T1	T2	T3	T4	T5	T6	P
0.04684090614318848	70.18733410375206	26.95272690371481	83.38623046875	-1	-1	-1	
0.27742433547973633	70.17842803288694	26.95272690371481	84.71557617187499	-1	-1	-1	
0.4568450450897217	70.22889576778942	26.95272690371481	82.26232910156249	-1	-1	-1	
0.6353271007537842	70.09827339510066	26.95272690371481	82.6973876953125	-1	-1	-1	
0.8202407360076904	70.02999351846788	26.95272690371481	82.1414794921875	-1	-1	-1	
1.0050950050354004	70.12796029798447	26.95272690371481	81.815185546875	-1	-1	-1	
1.1744027137756348	69.86954690716378	26.95272690371481	81.45263671875	-1	-1	-1	
1.3593711853027344	69.85738251768944	26.95272690371481	84.11132812499999	-1	-1	-1	
1.5377490520477295	69.87867019926955	26.95272690371481	83.1807861328125	-1	-1	-1	
1.722773790359497	69.84825922558369	26.95272690371481	85.35607910156249	-1	-1	-1	
1.9076128005981445	69.79656057031772	26.95272690371481	82.9874267578125	-1	-1	-1	
2.076899766921997	69.93036885453549	26.95272690371481	83.1807861328125	-1	-1	-1	
2.2617673873901367	69.6566700913628	26.95272690371481	83.71252441406249	-1	-1	-1	
2.440150022506714	69.67491667557432	26.95272690371481	84.5947265625	-1	-1	-1	
2.6250531673431396	69.66579338346857	26.95272690371481	84.35302734374999	-1	-1	-1	
2.813873529434204	69.45291656766757	26.95272690371481	82.6248779296875	-1	-1	-1	
2.9954540729522705	69.42250559398171	26.95272690371481	81.4163818359375	-1	-1	-1	
3.1694538593292236	69.49245083345919	26.95272690371481	82.781982421875	-1	-1	-1	
3.3507981300354004	69.46203985977334	26.95272690371481	84.1959228515625	-1	-1	-1	
3.5402491092681885	69.24003975186659	26.95272690371481	82.056884765625	-1	-1	-1	
3.723846912384033	69.60497143609685	26.95272690371481	83.95422363281249	-1	-1	-1	
3.894913911819458	70.34764337932467	26.95272690371481	80.28039550781251	-1	-1	-1	
4.076436758041382	72.67515656691786	26.95272690371481	81.573486328125	-1	-1	-1	
4.256237030029297	75.9089818863132	26.95272690371481	79.55529785156249	-1	-1	-1	
4.439448118209839	79.61613446566012	26.95272690371481	83.6279296875	-1	-1	-1	
4.614252328872681	83.96835443143166	26.95272690371481	83.10827636718749	-1	-1	-1	
4.798726320266724	88.91532507707684	26.95272690371481	83.71252441406249	-1	-1	-1	
4.977161407470703	94.11237608512812	26.95272690371481	83.9058837890625	-1	-1	-1	
5.162024974822998	99.89337925290152	26.95272690371481	82.8182373046875	-1	-1	-1	
5.347073793411255	105.92679350226751	26.95272690371481	85.31982421874999	-1	-1	-1	
5.516465663909912	112.07402541857938	26.95272690371481	81.815185546875	-1	-1	-1	
